nodeID,nodeLabel,communityID
428,2425420268,7
429,2136447178,36
430,2345460442,56
431,2035307968,2
432,2255169597,20
433,3016223879,17
434,2791603338,57
435,2162620464,45
436,349014660,67
437,2121951784,57
438,2177294723,86
439,263747273,84
440,2165233316,2
441,2952175474,80
442,2111196398,36
443,1999038396,18
444,2303406349,60
445,2754907520,56
446,1970722062,13
447,2792290209,44
448,2100108731,56
449,2618567517,9
450,2804742641,93
451,2893698747,73
452,2509546852,5
453,1997260467,86
454,2945493544,56
455,1710220930,93
456,2508067418,75
457,2102161143,30
458,2120999984,82
459,3088464169,83
460,3209468271,0
461,2198658866,5
462,2230557635,13
463,2060555659,30
464,2752304485,80
465,2073686743,83
466,2581702348,34
467,2749826000,80
468,2108649978,13
469,2676966873,51
470,3096624762,70
471,2756211607,9
472,1822525391,0
473,2152062292,75
474,2173133339,46
475,2338051053,2
476,2916711724,91
477,2102879746,27
478,2630313809,30
479,2800121012,50
480,2228996123,15
481,2434581579,3
482,1979208720,52
483,1819860740,86
484,2155727780,51
485,2097810354,32
486,2283514673,2
487,1839396060,31
488,2090481533,5
489,3031234605,95
490,2529722237,18
491,2010589294,52
492,2054679275,69
493,2661174861,34
494,570471769,0
495,2236634250,94
496,2131162648,80
497,2651610369,9
498,1991502852,2
499,2775179587,75
500,2896007038,78
501,1830936340,60
502,2204033582,58
503,2164071438,28
504,2012740798,4
505,2170280146,58
506,3196830950,10
507,2422963733,18
508,2797460760,23
509,2980983432,5
510,2809320875,2
511,2235466546,31
512,2416016947,23
513,18176304,2
514,2563003155,30
515,2664600665,3
516,3089313919,53
517,2426247371,24
518,389820446,3
519,2086584365,37
520,2131717182,17
521,2921952832,67
522,31583199,15
523,2619924923,57
524,2460248797,90
525,1227997469,69
526,2232858455,38
527,1555155895,52
528,200478807,54
529,2113124954,2
530,2722467789,80
531,153847603,56
532,2883850568,5
533,3143388184,12
534,2169623901,52
535,1976389738,33
536,2332623422,30
537,2142689323,2
538,2802669839,52
539,2493356015,66
540,2169113746,84
541,2090608461,17
542,3006477516,25
543,2796319914,73
544,2223153320,25
545,2233353687,73
546,2106727279,14
547,2755337459,34
548,2343567188,23
549,1943680658,3
550,2160557034,34
551,2138181541,30
552,3040771401,56
553,2320260979,69
554,2642239146,3
555,2010731171,56
556,2897272388,35
557,245983357,17
558,2908808087,94
559,2162212693,89
560,2155409866,81
561,1999328496,10
562,2175996902,23
563,2436677207,11
564,2924311704,20
565,2602972362,17
566,2888040488,91
567,2158294767,57
568,2097210855,80
569,2142089632,36
570,2140726944,15
571,2727792863,70
572,2601271921,50
573,96890528,1
574,3111932258,39
575,2144577857,52
576,2662927933,73
577,2102432799,75
578,2088360357,33
579,1558759059,78
580,663701320,25
581,2161842883,80
582,3018516204,14
583,2337021420,25
584,172088294,2
585,1194049428,30
586,2947300248,9
587,2165881438,32
588,2150966674,28
589,2231464481,36
590,2119382751,31
591,2147515681,13
592,2080786683,33
593,3137503973,13
594,2108454850,13
595,2904205291,89
596,2795384207,30
597,192856914,15
598,2885877612,51
599,2039054958,83
600,2664868026,75
601,2326617110,10
602,2794429079,30
603,2629495509,70
604,612034331,17
605,3024646252,4
606,281558538,79
607,2024609219,94
608,2131139976,59
609,2339378744,2
610,2787330824,12
611,2153043127,88
612,2099937050,8
613,2058269231,11
614,3160634875,2
615,666784747,65
616,2255285405,78
617,1946802817,75
618,2797813912,78
619,1745732477,20
620,2172231498,33
621,2463119708,23
622,2652244521,17
623,2923521387,2
624,2167295079,17
625,1937541868,52
626,2163614439,50
627,1997890622,10
628,2119799097,17
629,2199822204,34
630,2790727221,75
631,2169225683,52
632,2402468402,18
633,2228092714,23
634,2556559367,51
635,2083023563,23
636,3038329896,20
637,1372522571,30
638,2635252906,25
639,2147283915,83
640,2033537864,65
641,685392109,23
642,1969695948,38
643,2511050399,13
644,2963356453,9
645,2143285020,27
646,2721161737,46
647,1965760037,56
648,1999442567,20
649,2698183186,22
650,2613307830,56
651,2127177505,50
652,2001552644,17
653,2565705906,80
654,2165263670,50
655,2086354709,45
656,2930652168,8
657,1226829868,94
658,2286358354,66
659,2302699451,2
660,1757904279,3
661,2198299846,93
662,2233307329,9
663,2949082436,95
664,2211477406,53
665,2149125321,84
666,2303461165,54
667,2050855553,31
668,3038092217,13
669,3045530612,3
670,2803347569,11
671,2775042184,22
672,2309374831,60
673,2799234826,24
674,63447256,19
675,2108967946,9
676,2124130045,50
677,2056797220,81
678,2434944288,69
679,1595593693,3
680,3212681046,69
681,2119733580,2
682,2124617924,8
683,2116851123,95
684,2017199091,52
685,2214756976,12
686,149718470,50
687,2266127391,80
688,2063144280,60
689,2808771937,9
690,2753816492,19
691,2754292744,9
692,2139435602,31
693,2470232032,80
694,2420184940,65
695,2556557311,73
696,1833506585,69
697,2106513951,23
698,2886939975,33
699,46490174,2
700,2086593655,61
701,2989583809,23
702,3011643808,17
703,2953922869,73
704,2150815047,50
705,729075653,45
706,261658085,23
707,2970376646,62
708,112416750,46
709,2338501302,2
710,2110314951,7
711,18308219,3
712,2297414891,20
713,1975324947,80
714,2930814703,73
715,2279547608,27
716,2953765055,63
717,1978919204,10
718,2965670300,17
719,3207252816,25
720,2024938595,60
721,2163083885,33
722,250367055,2
723,2085981527,52
724,2338678646,12
725,1070014096,89
